brand,description,seller,rating,currency,value
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">9.510</span>"
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.531</span>"
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.331</span>"
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">5.831</span>"
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro Cor Grafite",Por Eshop ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.030</span>"
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.165</span>"
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">7.299</span>"
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.331</span>"
ACER,Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,Por Acer Brasil ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.599</span>"
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.146</span>"
,"Notebook Positivo Vision I15 Lumina Bar I3-n300, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo Linux - Preto",Por 123 Comprou ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.499</span>"
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">8.165</span>"
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">8.165</span>"
,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">5.639</span>"
ACER,"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.285</span>"
ASUS,"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",Por Asus ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.099</span>"
SAMSUNG,"Samsung Galaxy Chromebook Go Intel Celeron N4500, 4gb, 32gb Cor Cinza",,4.7,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">1.861</span>"
ASUS,"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",Por Asus ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.099</span>"
LENOVO,Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado,Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.665</span>"
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",,4.7,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.852</span>"
,"Notebook Multi I3-8145u 4gb 240gb Ssd Linux 15,6'' Cinza - Ub491",Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.165</span>"
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.399</span>"
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">8.558</span>"
,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Por Positivo ,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">1.649</span>"
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.999</span>"
ACER,Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Por Acer Brasil ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.599</span>"
ACER,Notebook Acer Gamer Nitro V15 Intel Core I7 13ª Ger. 16gb 512ssd Rtx3050 Com 6gb Gddr6 Nvidia Geforce Linux Gutta ANV15-51-73E9,Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">9.998</span>"
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.831</span>"
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.146</span>"
ACER,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">7.398</span>"
SAMSUNG,Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Por 2Eletro ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.590</span>"
ASUS,"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.199</span>"
ACER,Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Por Vikings ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">10.498</span>"
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.499</span>"
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.117</span>"
DELL,Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11,Por Dell ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.199</span>"
ACER,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Por Acer Brasil ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">7.299</span>"
ASUS,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">5.199</span>"
,"Notebook VAIO FE15 Intel Core i5 11th, 16GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE55F11XB0611H",,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.663</span>"
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.616</span>"
ACER,"Notebook Acer Aspire 15 73wh Intel Ci7 13620H 13ªGen GB RAM 512GB SSD Fhd 15.6"" 64-Bits (Debian)",Por Acer Brasil ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.299</span>"
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER ,3.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">7.599</span>"
ASUS,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 7730U 8GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ494",Por Mercado Livre ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.599</span>"
,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Por Positivo ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">1.999</span>"
,"Notebook Positivo Vision I15 Lumina Bar I3-n300, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo Linux - Preto",Por 123 Comprou ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.499</span>"
DELL,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Por Dell ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.299</span>"
ACER,Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.372</span>"
LENOVO,Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado,Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.665</span>"
SAMSUNG,"Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v",Por 2Eletro ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.800</span>"
ASUS,Notebook Asus Rog Strix G16 Core I9 16gb 512ssd W11 Rtx 4060 Cor Cinza,Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">12.500</span>"
,"Notebook Multi I3-8145u 4gb 240gb Ssd Linux 15,6'' Cinza - Ub491",Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.165</span>"
ACER,Notebook Acer Aspire 5 A515-45-R36L Ryzen 7 15.6 Radeon 512gb 12gb Linux,,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.356</span>"
ASUS,Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,Por Mercado Livre ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.777</span>"
ACER,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,Por INPOWER ,4.7,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.629</span>"
ASUS,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,Por Mercado Livre ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">6.499</span>"
SAMSUNG,"Notebook Samsung Book 4 Intel i5 1335u 8gb 256gb Ssd 15,6' Windows 11 Pro",Por Eshop ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.619</span>"
,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por Eshop ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.900</span>"
